bu_naam,gm_naam,bev_dichth,SUM_TOTAAL,SUM_ZOOGDIEREN,SUM_WEEKDIEREN,SUM_VOGELS,SUM_VISSEN,SUM_SPRINKHANE,SUM_REPTIELEN,SUM_LIBELLEN,SUM_HAFTEN_KOK,SUM_DAGVLINDER,SUM_BIJEN_EN_H,SUM_AMFIBIEEN,Shape_Length,Shape_Area,Area_km2,SpeciesDensity
Angstelkade,Stichtse Vecht,,7.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1092.989328613659382,56776.654039494882454,0.0567767,123.2901077
Arkel-Industriegebied-Noord,Molenlanden,,4.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,876.528942406922852,958.004609005535031,0.0009580,4175.3452148
Bedrijvengebied Strijkviertel,Utrecht,,27.000000000000000,4.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,4940.582033930761099,667611.843982975813560,0.6676118,40.4426613
Bedrijventerrein De Wetering,Utrecht,,21.000000000000000,2.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,6217.376011250677038,1061666.672837200574577,1.0616667,19.7802181
Bedrijventerrein Vathorst-Noord,Amersfoort,,37.000000000000000,6.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,3757.074853493202681,404646.523194027075078,0.4046465,91.4378281
Bedrijventerrein Vathorst-Zuid,Amersfoort,,21.000000000000000,3.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,3905.644012815262613,501971.526013246912044,0.5019715,41.8350410
Begraafplaats Maarssen,Stichtse Vecht,,8.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,962.800211613035913,46740.839363214588957,0.0467408,171.1565247
Bogen,Houten,,10.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,0.000000000000000,2047.787884023144215,204846.213994596328121,0.2048462,48.8171082
Boten,Houten,,18.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3509.297353757320252,416004.063549989659805,0.4160041,43.2688065
De Brand,Amersfoort,,17.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,1332.325127338228413,103286.209644660979393,0.1032862,164.5911865
De Flier/Arkerpoort,Nijkerk,,4.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,150.410204078274631,160.331962760257682,0.0001603,24948.2363281
De Grachten,Soest,,19.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,2.000000000000000,2767.506274799753101,343078.625342193350662,0.3430786,55.3808937
De Groene Velden,Veenendaal,,17.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,2567.386136816102407,381771.576730001834221,0.3817716,44.5292473
De Hoef-Oost,Amersfoort,,29.000000000000000,4.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,7.000000000000000,1.000000000000000,0.000000000000000,3875.367261891425642,920134.208876408287324,0.9201342,31.5171413
De Kampen,Blaricum,,58.000000000000000,1.000000000000000,1.000000000000000,34.000000000000000,4.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,2.000000000000000,4431.781101814674912,4024.349979645675376,0.0040244,14412.2646484
De Staart,Houten,,31.000000000000000,0.000000000000000,1.000000000000000,11.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,5378.006472860012764,141280.749207294458756,0.1412808,219.4212494
Eemmeer-Eemnes,Eemnes,,48.000000000000000,0.000000000000000,0.000000000000000,36.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,5618.531089608945877,408164.463180234655738,0.4081645,117.5996552
Gaasperplas,Amsterdam,,11.000000000000000,1.000000000000000,2.000000000000000,4.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,433.304894744711646,908.146279858025423,0.0009081,12112.5859375
